recognize," vt. 认出,认可,承认,意识到,表示感激"
uniform," adj. 一致的,统一的
n. 制服
vt. 穿制服"
bare," adj. 赤裸的,显露的,极少的,仅仅的
vt. 使赤裸,露出"
overlap," n. 重叠,重复
vt. 重叠,重复
vi. 有重叠部分
[计算机] 重叠"
instinct," n. 本能, 天性, 直觉"
enjoyment, n. 享受
hopeful, adj. 有希望的
remedy," n. 药物,治疗法,补救
vt. 治疗,补救,矫正"
mock," n. 嘲笑,戏弄,模仿
adj. 假的,伪造的
vt. 嘲弄,模仿,轻视
vi. 嘲弄"
business," n. 商业,生意,事务"
rally," n. 集会,重振旗鼓,示威运动,回合
vi. (人)集合起来,重整旗鼓,恢复精神
vt. 重新召集,激励,嘲弄"
pronunciation, n. 发音
stop," n. 停止,车站,滞留,阻挡
vt. 停止,制止,塞住
vi. 停止,停留,结束"
questionable," adj. 可疑的, 可置疑的"
remind," v. 提醒
vt. 使想起,提醒"
lessen," v. 减少, 变小, 减轻"
different," adj. 不同的,与众不同的"
pray," vt. &vi. 祈祷, 恳求"
diamond," n. 钻石,像钻石的物质,菱形,纸牌的方块,棒球内场
vt. 用钻石装饰
adj. 60或75周年纪念的"
pictorial," adj. 绘画的
n. 画报"
brick," adj. 砖似的
n. 砖
v. 用砖围砌,用砖填补
vt. (up)用砖砌,用砖堵住"
careless," adj. 粗心的, 疏忽的
n. 不关心的, 粗心的[反]attentive"
treasure," n. 宝物,财富
v. 珍爱,重视,储藏"
explanation," n. 解释, 说明"
away," adv. 远离,离开,出去,连续的,遥远地"
certify," vt. 证明,保证,证实,颁发证书"
crop," n. 庄稼,收成, 一群,平头
vt. 割掉, 修剪, 剪短, 收割, 使谷物生长
vi. 啃青草, 种植谷物"
unlimited," adj. 无限的, 不受控制的, 无条件的"
provoke," vt. 激怒, 惹起, 驱使"
undermine," vt. 暗中损害, 逐渐削弱, 在(某物)下挖洞或挖通道, 从根基处损害"
ours, pron. 我们的
vocation," n. 职业,行业,职务"
proficiency," n. 熟练,精通"
or," conj. 或者,还是
prep.&amp;adv. 或者"
tag," n. 标签,附属物,名称,谚语
vt. 附以签条,尾随,添饰,指责,连接
vi. 紧随,尾随"
captain," n. 船长, 队长, 首领
vt. 率领, 指挥"
renovate," vt. 更新,革新,刷新"
thirst," v. 渴望,渴求
vi. (for)渴望,渴求
vt.&amp;n. 渴,渴望"
emerge," vi. 浮现, (由某种状态)脱出, (事实)显现出来"
immense," adj. 巨大的,广大的,非常好的"
dumpy, adj. 矮胖的
gymnasium," n. 体育馆, 健身房
n.（德国等培养学生升入大学的）大学预科，高级中学
(复数）gymnasia或gymnasiums"
underlying," adj. 在下面的, 基本的, 隐含的"
spherical," adj. 球的, 球面的, 球状的"
timetable," n. 时间表, 时刻表，课程表"
longing," n. 渴望,热望,憧憬
adj. 渴望的,热望的
vbl. 渴望,渴慕,热望"
amusement," n. 娱乐, 消遣"
justify," vt. 替...辩护,证明...正当
n. 对齐
[计算机] 调整"
hardness," n. 坚硬, 困难, 严厉"
wealthy," adj. 富有的
n. 富人"
relative," adj. 相对的,比较的,涉及到的
n. 亲属,同类事物,相关物"
humble," adj. 卑下的, 谦逊的, 粗陋的
vt. 使...卑下, 贬低"
documentary," adj. 文献的
n. 纪录片"
interrupt," n. 中断
vt. 打断,妨碍
vi. 插嘴
[计算机] 中断"
badge," n. 徽章,标记"
sunlight," n. 日光, 阳光"
replace," vt. 取代,更换"
distress," n. 苦恼, 贫困, 忧郁, 恶化, 扣押财物
vt. 使...苦恼, 仿造
adj. 亏本出售的"
salesman," n. 销售人员, 推销员"
cope," v. (with)竞争,对抗,对付,妥善处理
vi. 对付,妥善处理"
pepper," n. 胡椒粉
vt. 加胡椒粉于"
turnover," n. 翻覆, 翻折, 半圆卷饼, 营业额, 成交量
adj. 翻折的领子"
cafeteria," n. 自助餐厅
adj. 有多种选择的"
bulk," n. 大部分, 大多数, 大块, 大批, 容积, 体积
vi. 变大, 增加
vt. 膨胀, 出现
adj. 大量的"
spectator," n. 观众, 旁观者"
pendulum," n. 摆, 钟摆，摇摆不定的事态（或局面）"
painstaking," n. 辛苦,苦心,工夫
adj. 辛苦的,勤勉的,小心的"
cathedral, n. 大教堂
modest," adj. 谦虚的, 适度的, 端庄的"
sophomore, n. 大学二年级生(在企业中工作第二年的人)
decide," vt. &vi. 决定,作出抉择"
regime, n. 政权，政体；社会制度；管理体制
alternate," adj. 交替的, 轮流的, 间隔的
vt. &vi. 交替, 轮流"
shock," n. 震动,冲突,震惊,休克
vt. &vi.震动,冲突,使...受电击"
protein," adj. 蛋白质的
n. 蛋白质"
likelihood, n. 可能性
cooperative," adj. 合作的,共同的
n. 合作社"
etc," adv. 及其他,等等
n. (缩写词)= effluent treatment cell 流出物处理元件"
brutal," adj. 野蛮的,残暴的"
alike," adj. 相似的,同样的
adv. 一样,以同样的方式"
unlucky," adj. 不吉利的,不祥的,不幸的"
compile," v. 编译,编辑,编纂
[计算机] 编译"
combination," n. 结合,联合，联合体"
insure," vt. 保险,确保
vi. 买保险"
charity," n. 慈善机关(团体),仁慈,宽厚"
detail," n. 细节,详情,部分,分派
vt. 详述,选派,用小元素装饰
vi. 画细节"
address,n. n.地址； 通信处； 演说； 称呼
installation," n. 安装,装置, 军事驻地"
skirt," n.裙子； 边缘； （连衣裙、外衣等的）下摆； （车辆或机器基座的）挡板
vt.& vi.位于…的边缘； 沿…的边缘走； 绕开； 避开,避开"
puppet," n. 木偶, 傀儡"
disgust," n. 厌恶,嫌恶
vt. &vi. 令人厌恶"
zinc," n. 锌
vt. 在…上镀锌"
merely," adv. 仅仅,只不过"
salary," n. 薪水
vt. 给...薪水"
exploration," n. 探险,踏勘,探测"
offset," n. 抵销,支派,平版印刷,弯管
vt. 弥补,抵销,用平版印刷
vi. 形成分支"
craft," n. 工艺, 手艺, 狡诈，航空器, 行会成员
vt. 手工制作"
however," adv. 然而
conj. 然而, 可是, 不过"
anxious," adj. 焦急的, 忧虑的"
flush," n. 流溢, 面红, 旺盛, 冲水(尤指冲马桶), 突然萌发, (纸牌)同花顺, 清一色
[计算机] 冲洗
vi. 脸发红, 冲刷, 旺盛成长
vt. 用水冲洗, 惊起(一群鸟), 抄...老窝, 使兴奋
adj. 丰足的,齐平的,满盈的
adv. 正直地, 羞涩地"
poetry, n. 诗歌
fetch," n. 取得
vt. 取来,带来,航行到达
vi. 取回,兜圈子"
tame," adj. 驯服的,柔顺的,乏味的
vt. 驯养,使...驯服
vi. 变得驯服"
gasp," n. 喘气
v. 喘气, 喘息, 渴望"
allow," vi. (for)考虑到,使可能
vt. 给予,承认,允许, 断定"
disgrace," n. 耻辱, 不名誉
v. 耻辱, 使...失体面"
powder," n. 粉,粉末,细雪,火药
vt. 洒粉于,使变成粉,重击
vi. 变成粉,涂粉"
fury," n. 愤怒, 狂暴, 狂怒的人
n. 复仇女神"
trifle," n. 琐事；蛋糕；少量
vi. 开玩笑；闲混；嘲弄
vt. 浪费；虚度"
simultaneous," adj. 同时发生的,同步的"
contaminate," vt. 弄脏,污染"
comply," vi. 顺从,答应"
worthy," adj. 有价值的,可尊敬的,值得的,配得上的
n. 知名人士, 杰出人物"
tower," n. 塔,高楼,堡垒
vi. 屹立,超越"
vanity," n. 虚荣心,浮华,无价值的东西
adj. 虚荣心的"
substance," n. 物质,实质,内容,重要性,财产"
master," n. 主人, 硕士, 母机
adj. 主人的, 主要的
v. 征服, 控制, 精通"
furious," adj. 狂怒的, 猛烈的"
physician, n. 内科医生
liberty, n. 自由；许可；冒失
jealous," adj. 妒忌的,戒备的"
beard," n. 胡须
vt. 抓住胡须,公开反对"
snack," n. 小吃,点心
v. 吃零食,吃点心"
urgent," adj. 急迫的,紧要的,紧急的"
standpoint," n. 立场, 观点"
brake," vi. 刹车
n. 闸，刹车；阻碍
vt. 刹车"
exercise," n. 练习,作业,运动
vt. 运用
vi. 锻炼"
law," n. 法规,规律,起诉,法则
vi. 起诉"
conflict," n.冲突； 战斗； 相互干扰； 矛盾
vi.抵触； 争斗； 战斗； 冲突"
turbulent, adj.骚乱的，混乱的； 激流的，湍流的； 吵闹的； 强横的
edit," vt. 编辑,编校,修订
n. 编辑工作"
helicopter, n. 直升机
economic," adj. 经济学的, 经济的，有利可图的
n. [-s]经济学(状况等)"
staircase, n. 楼梯
likely," adj. 可能的,合适的,可信的,有前途的,有吸引力的
adv. 很可能"
guild," n. 公会,协会"
laughter," n. 笑, 笑声"
apparently," adj. 显然,似乎
adv. 显然"
penetrate," vt. &vi. 穿透,渗透,看穿"
colonel, n. 上校
lad," n. 少年, 小伙子"
prime," adj. 最初的,首要的,最好的，典型的
n. 青春,壮年,全盛时期
vt. 事先指点,在（金属、木材等上）打底漆 
vi. 变得首要"
settlement," [建]沉降; 解决, 结算,殖民(地), 租界; 居留地; 新建区; 住宅区"
hour," n. 小时,钟点"
pamphlet, n. 小册子
convince," vt. 说服, 使...相信"
evaluation," n. 估价,评价"
register," v. 记录, 登记, 注册, 挂号
n. 暂存器, 记录, 登记簿
n. (语)语域; 通风调节设备"
hijack," vt. 抢劫, 劫持, 劫机"
nephew," n. 侄子,外甥"
confidential," adj. 机密的,获他人信赖的,易于信任他人的"
senator, n. 参议员
academic," n. 教学人员,学术人员
adj. 学院的,理论的,学术性的"
nervous," adj. 紧张的,焦虑的,神经质的"
instant," n. 立即, 瞬间
adj. 立即的, 即时的"
fashion," n. 流行,风尚,时样,时装
v. 形成,造,作"
fraction," n. 分数, 小部分, 破片"
shield," n. 盾,防卫物,盾状物
vt. 保护,遮蔽"
semester, n. 学期
graceful, adj. 优雅的
rope," n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
quantify," v. 定量, 表示份量, 称量, 量化"
scheme," n. 方案, 计划, 阴谋
v. 计画, 设计, 体系, 结构, 图谋"
those, pron.&amp;adj. 那些
fracture," n. 破碎,骨折
vt. 破碎,破裂
vi. 断裂"
bond," n. 债券；结合；约定；粘合剂
vi. 结合，团结在一起
vt. 使结合；以…作保"
embrace," n. 拥抱
v. 拥抱,互相拥抱,包含"
minus," adj. 负的,减的
n. 减号,负数,缺点
prep. 减去"
thoughtless," adj. 没有考虑的,无深虑的,轻率的"
sting," n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
hut," n. 小屋, 棚屋"
agony," n. (极度的)痛苦,创痛"
silly," adj. 愚蠢的,淳朴的,晕的"
confer," vi. 商讨
vt. 赠予,授予"
intuition," n. 直觉, 直觉的知识"
incorporate," vt.组成公司； 包含； 使混合； 使具体化
vi.包含； 吸收； 合并； 混合"
neutral," adj. 中立的,中性的
n. 中立者,空挡的,素净色"
bore," vbl. 忍受(动词bear的过去式)
n. 令人讨厌的人,枪膛,孔,井眼,枪管口径,涌潮
vt. 使感到厌烦,钻孔,挖
vi. 挖掘,开凿"
fruitful," adj. 多产的, 富有成效的"
tribal," adj. 部落的, 种族的"
stale," adj. 不新鲜的, 陈腐的, 失效的
vt. 使腐坏
vi. 变得不新鲜, 腐坏,(动物)撒尿
n. (动物的)尿"
spectacle," n. 值得看的东西, 光景, 眼镜"
blood," n. 血,血统,仇恨
vt. 流血"
segment," n. 部分
v. 部分,段,分割
vt. 分割"
sue," vt. 控告, 起诉
vi. 请求, 追求, 起诉
n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)"
threaten," vt. &vi. 威胁,构成威胁"
terrific," adj. 极好的,非常的,极度的"
liberate," v. 解放, 使获得自由, 释出, 放出
vt. 解放, 使获自由"
cousin, n. 堂(或表)兄弟(姐妹)
organization," n. 机构,组织
adj. 有组织的"
healthy, adj. 健康的
vessel," n. 船,容器,脉管,血管,化身"
tariff," n. 关税, 价目表
vt. 交关税"
arise," vi. 上升,引起,出现"
yearly," adj. 每年的
adv. 每年地, 一年一次地"
share," n. 部份,股份,分担,犁头
vt. 分享,共有,分配
vi. 分享"
authority, n. 权威；权力；当局
flatten," v. 变单调, 变平, 打倒"
blast," n. 爆破,冲击波,气流,一阵,汽笛声
vi. 爆破,突然发出声音
vt. 喷射,炸掉"
divorce," n. 离婚
v. 与...办离婚"
have," aux. 已经,曾经
n. 吃,从事,得到,雇用,享有,有,允许
v. 有"
stereo," adj. 有立体视觉的,立体声的
n. 固定形象,立体声"
veteran," adj. 老练的
n. 老兵, 老手"
revise," n. 校订, 修正, 再校稿
v. 校订, 修正, 校正"
telegraph," n. 电报, 电报机
vt. 打电报, 显示"
cigarette, n. 香烟
important," adj. 重要的,影响很大的"
single," adj. 单身的,单纯的,单一的
n. 单程票,单曲,单人房,单身者
vt. 单独挑出
vi. (棒球)作一垒打"
wish," n. 渴望,愿望,(复数)祝颂,命令
vt. &vi. 想要,希望"
trouble," n. 困扰,麻烦,困难,故障
vt.& vi. 困扰,麻烦"
paste," n. 糊,浆糊,铅制玻璃
vt. 粘贴,覆盖,猛击"
scent," n. 气味,香味,痕迹
vt. 闻出,发觉,使充满味道,得到...的暗示
vi. 嗅闻,循着遗臭追踪,散发气味"
virtue," n. 美德,优点;贞操"
stiff," adj. 坚硬的,严厉的,呆板的,不灵活的
adv. 僵硬地,彻底地
n. 死尸, 过于拘谨的人, 流浪汉, 吝啬鬼, 醉鬼
vt. 诈骗,失信,不给小费"
detector, n. 探测器
tongue," n. 舌头,语言,口条,语言,说话方式
vt. 舔,闲谈,斥责
vi. 吹乐器"
exclusive," adj. 独占的, 唯一的, 排外的; 高价的, 时髦的
[计算机] 互斥的
n. 独家新闻, 独权"
lap," n. 下摆,膝盖,舐声,一周
vt. 包围, 抱...在膝上, 重叠, 舔, 拍打, 泼溅
vi. 重叠, 围住, 轻拍, 舔"
phenomenon," n. 现象, 非凡的人或事物"
restless," adj. 不安宁的, 焦虑的"
danger, n. 危险
cautious," adj. 十分小心的, 谨慎的"
enthusiasm, n. 热心，热忱，热情
calendar," n. 日历,月历,日程表
vt. 进入日历"
deer, n. 鹿
neutron, n. 中子
benefit," n. 利益, 津贴; 义卖, 义演
vt. 有益于
vi. 得益"
decorative, adj. 装饰的，可作装饰的
listener," n. 听者, 听众"
highlight," n. 加亮区,精彩部分, 最重要的细节或事件, 闪光点
vt. 加亮,强调, 使...显得重要, 照亮
[计算机] 醒目"
compatible," adj. 能共处的,可并立的,适合的, 兼容的
n. 兼容"
fox," n. 狐狸, 狡猾的人
v. 奸狡地行动"
useless, adj. 无用的，无效的
constituent," n. 成份,选民,构成物
adj. 构成的,组织的,有提名权的"
delicate," adj. 细致优雅的,微妙的,美味的
adj. 淡色的,淡味的
adj. 娇弱的,纤细的"
above," adj. 上面的
adv. 在上面, 超过
n. 上面的东西
prep. 在...上面, 超过"
comprehension," n. 理解(力),领悟"
whiskey," n. 威士忌酒
=whisky"
advantage," n. 优势,有利条件
vt. 有利于"
death," n. 死,死亡，死神，毁灭"
cigar, n. 雪茄烟
video," adj. 录像的
n. 录像(机)
vt. 制作...的录像"
struggle," n. 竞争,努力,奋斗
v. 努力,奋斗,挣扎"
might," aux. 可能,也许
n. 力量,威力
v. 或许,可以"
rainbow," n. 彩虹
adj.五彩缤纷的"
nevertheless," adv. 仍然, 不过
conj. 然而, 不过"
crisp," adj. 脆的,易碎的
n. 薯片,松脆物
vt. &vi. 使发脆"
learn," vt. 学习,获悉
vi. 了解,习得"
ivory," n. 象牙,乳白色
adj. 象牙制的,乳白色的"
force," n. 力量,武力,暴力,影响力
vt. 施暴,强迫,强夺,加压力
[计算机] 强制"
bother," vt. 烦扰
vi. 烦扰,操心
n. 烦扰"
doubt," n. 怀疑,疑惑,不信任
vt. 怀疑,不信任
vi. 不确定"
presumably," adv. 推测上,假定上,大概"
steam," vt. 蒸，散发；用蒸汽处理
n. 蒸汽；精力
vi. 蒸，冒水汽
adj. 蒸汽的"
geographical," adj. 地理的,地理学的
=geographic"
priority," n. 优先权, 优先顺序, 优先"
boundary," n. 分界线, 边界"
liquid," adj. 液体的, 液态的
n. 液体"
goddess, n. 女神，受崇拜的女性
very," adj. 真正的,完全的,自己的,仅仅的,同一个,特别的
adv. 真的,非常"
occasion," n. 场合,机会,理由
vt. 致使,惹起,引起"
flame," n. 火焰,火舌,鲜红色,光辉,恋人,怀念,辱骂信息
vi. 焚烧,爆发,面红, 发辱骂信息
vt. 用烟火发信号,用火对待,发辱骂信息"
extent," n. 广度,宽度,长度,大小,范围,范围,程度
n. [律]&lt;英&gt;扣押, &lt;美&gt;临时所有权令"
fourth," n.第四； 月的第四日； 四分之一； 第四音级
adj.第四的； 四分之一的
num.第四"
relief, n.宽慰，安心； 免除，减轻； 救援物资； 代班人
level," n. 水平,等级,标准,层次
adj. 平坦的,齐平的,稳定的,合理的,满满的
vt. 压平,使同等,瞄准,夷为平地,推翻, 指责
vi. 趋向平稳, 瞄准, 诚恳待人, 使平等"
preserve," vt.保护； 保持，保存； 腌制食物； 防腐处理
vi.保鲜； 保持原状； 做蜜饯； 禁猎
n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）"
complain," vi. 抱怨,悲叹,控诉"
harbor," n. 海港,避难所
vt. 庇护,心怀,窝藏
vi. 进入避祸所,生存"
improper," adj. 不合适的, 错误的, 不道德的"
stony, adj. 石头的(石质的)
proof," adj. 防...的,耐...的,能防护
n. 校样,证据,证明
vt. 检验,给...做防护措施"
recognition," n. 认出,承认, 感知，知识"
bounce," n. 跳,反跃,(活)弹力
vt. 弹跳,向...透露注意
vi. 弹起,重新恢复"
queer," n. 同性恋者
adj. 奇怪的, 不舒服的, 可疑的"
current," n. (水、气、电)流, 趋势
adj. 流通的, 现在的, 最近的"
photographic, adj. 摄影的，逼真的
essence," n. 本质,精髓,要素,香精"
recollect," v. 回忆, 回想, 忆起"
nature," n.自然,自然界,自然状态; 本性,天性,性质; 质; 性格; 性; 本质"
audience," n. 听众, 观众, 读者, 拥护者, 倾听, 正式会见"
age," n. 年龄，时期，很长时间
vt. (使)变老
vi. 变老,(使）变成熟"
comfort," n. 舒适,安慰,安慰者
vt. 安慰"
